position,distance
1,0.0
2,112.0
3,111.0
4,40.0
5,52.0
6,46.0
7,50.0
8,50.0
9,49.0
10,52.0
11,47.0
12,51.0
13,49.0
14,49.0
15,49.0
16,48.0
17,49.0
18,53.0
19,48.0
20,49.0
21,49.0
22,49.0
23,48.0
24,53.0
25,46.0
26,50.0
27,49.0
28,48.0
29,53.0
30,49.0
31,49.0
32,49.0
33,49.0
34,49.0
35,49.0
36,53.0
37,48.0
38,49.0
39,29.0
40,69.0
41,49.0
42,51.0
43,49.0
44,49.0
45,49.0
46,49.0
47,49.0
48,53.0
49,47.0
50,49.0
51,51.0
52,48.0
53,49.0
54,50.0
55,49.0
56,49.0
57,48.0
58,53.0
59,48.0
60,48.0
61,48.0
62,49.0
63,50.0
64,49.0
65,17.0
66,16.0
67,17.0
68,16.0
69,16.0
70,12.0
71,15.0
72,12.0
73,12.0
74,12.0
75,12.0
76,12.0
77,12.0
78,12.0
79,12.0
80,12.0
81,12.0
82,12.0
83,12.0
84,12.0
85,12.0
86,11.0
87,12.0
88,11.0
89,11.0
90,12.0
91,11.0
92,11.0
93,14.0
94,11.0
95,16.0
96,16.0
97,16.0
98,15.0
99,15.0
100,15.0
101,15.0
102,15.0
103,15.0
104,15.0
105,15.0
106,4.0
107,4.0
108,5.0
109,4.0
110,4.0
111,4.0
112,4.0
113,4.0
114,4.0
115,3.0
116,3.0
117,3.0
118,3.0
119,3.0
120,3.0
121,3.0
122,3.0
123,3.0
124,3.0
125,3.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,3.0
136,3.0
137,4.0
138,3.0
139,4.0
140,4.0
141,4.0
142,4.0
143,4.0
144,4.0
145,4.0
146,4.0
147,4.0
148,14.0
149,14.0
150,14.0
151,14.0
152,14.0
153,14.0
154,14.0
155,14.0
156,0.0
157,14.0
158,14.0
159,14.0
160,4.0
161,4.0
162,4.0
163,14.0
164,14.0
165,6.0
166,14.0
167,2.0
168,3.0
169,3.0
170,2.0
171,2.0
172,2.0
173,2.0
174,2.0
175,2.0
176,2.0
177,2.0
178,2.0
179,2.0
180,2.0
181,2.0
182,2.0
183,2.0
184,2.0
185,2.0
186,2.0
187,2.0
188,2.0
189,2.0
190,2.0
191,2.0
192,2.0
193,80.0
194,2.0
195,81.0
196,15.0
197,15.0
198,24.0
199,3.0
200,14.0
201,14.0
202,14.0
203,14.0
204,4.0
205,4.0
206,4.0
207,4.0
208,14.0
209,14.0
210,4.0
211,4.0
212,4.0
213,14.0
214,14.0
215,14.0
216,14.0
217,14.0
218,14.0
219,17.0
220,18.0
221,4.0
222,4.0
223,4.0
224,4.0
225,4.0
226,4.0
227,4.0
228,4.0
229,3.0
230,4.0
231,3.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,3.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,3.0
271,3.0
272,3.0
273,3.0
274,3.0
275,3.0
276,3.0
277,4.0
278,4.0
279,4.0
280,4.0
281,4.0
282,15.0
283,4.0
284,4.0
285,12.0
286,12.0
287,12.0
288,12.0
289,12.0
290,16.0
291,16.0
292,24.0
293,24.0
294,25.0
295,25.0
296,19.0
297,20.0
298,15.0
299,15.0
300,15.0
301,12.0
302,12.0
303,12.0
304,14.0
305,12.0
306,14.0
307,14.0
308,14.0
309,12.0
310,14.0
311,12.0
312,14.0
313,15.0
314,15.0
315,15.0
316,15.0
317,15.0
318,15.0
319,15.0
320,15.0
321,15.0
322,15.0
323,17.0
324,49.0
325,52.0
326,49.0
327,54.0
328,47.0
329,51.0
330,46.0
331,51.0
332,48.0
333,49.0
334,51.0
335,47.0
336,51.0
337,47.0
338,50.0
339,50.0
340,47.0
341,51.0
342,47.0
343,50.0
344,51.0
345,47.0
346,51.0
347,47.0
348,51.0
349,51.0
350,47.0
351,51.0
352,47.0
353,51.0
354,47.0
355,49.0
356,53.0
357,47.0
358,51.0
359,47.0
